DB00252	DB00665
DB00734	DB08931
DB00018	DB00495
DB00484	DB09071
DB00295	DB00344
DB00384	DB00788
DB00959	DB01264
DB00904	DB01238
DB00104	DB08914
DB00450	DB00865
DB00679	DB05812
DB00707	DB01137
DB06210	DB08931
DB00907	DB06702
DB00508	DB00813
DB00972	DB01219
DB00081	DB00374
DB00030	DB00472
DB00484	DB00683
DB00331	DB04946
DB01109	DB09477
DB00834	DB01590
DB01173	DB05271
DB00285	DB00420
DB00804	DB01278
DB00921	DB01224
DB00515	DB06643
DB00967	DB08883
DB00031	DB06822
DB00188	DB01175
DB00176	DB09065
DB00201	DB00289
DB00541	DB04868
DB00851	DB00951
DB00752	DB06288
DB00790	DB00862
DB00484	DB00897
DB00398	DB01323
DB00706	DB01167
DB00734	DB01233
DB00104	DB01232
DB00177	DB01214
DB00715	DB06808
DB00661	DB01248
DB00186	DB06216
DB00402	DB01173
DB00046	DB04839
DB00120	DB04817
DB00312	DB01142
DB00933	DB04871
DB01173	DB01215
DB00502	DB06684
DB00374	DB06441
DB01045	DB04841
DB00708	DB06218
DB01192	DB06201
DB00316	DB01032
DB00755	DB08895
DB00653	DB01041
DB01340	DB09242
DB00048	DB08794
DB00333	DB00391
DB00433	DB04896
DB01076	DB01377
DB00408	DB01017
DB00266	DB00994
DB00334	DB00921
DB00613	DB00641
DB00997	DB08934
DB00700	DB00908
DB00277	DB00763
DB00283	DB09076
DB00197	DB00440
DB00191	DB00409
DB00104	DB00343
DB00241	DB00841
DB00956	DB01367
DB00176	DB00379
DB00512	DB01337
DB00528	DB09407
DB00503	DB09166
DB00182	DB01576
DB00285	DB00450
DB01242	DB04861
DB00273	DB00804
DB00557	DB04924
DB00956	DB01171
DB01623	DB04924
DB00682	DB01104
DB00988	DB01236
DB00344	DB00834
DB00201	DB04272
DB00448	DB01609
DB00181	DB01267
DB00030	DB01551
DB00193	DB00496
DB00752	DB01067
DB01281	DB06643
DB01320	DB09030
DB00595	DB00755
DB00864	DB01181
DB01234	DB05521
DB00635	DB04876
DB00078	DB00758
DB00363	DB00366
DB01264	DB06589
DB04817	DB09077
DB00224	DB00872
DB01309	DB06203
DB00490	DB00557
DB00227	DB00625
DB00364	DB01436
DB09117	DB09555
DB00557	DB01558
DB00294	DB00912
DB00120	DB00262
DB01238	DB01263
DB00321	DB00850
DB01263	DB08895
DB00187	DB06218
DB00468	DB01377
DB00030	DB08907
DB00776	DB09027
DB00363	DB00458
DB00470	DB00561
DB00409	DB01242
DB00686	DB04272
DB00195	DB00346
DB00427	DB09034
DB01235	DB09401
DB01394	DB08893
DB00829	DB06273
DB00021	DB00245
DB01037	DB09042
DB01067	DB01120
DB00641	DB09073
DB00564	DB01234
DB00353	DB01167
DB00411	DB01203
DB00193	DB01100
DB00974	DB04574
DB00261	DB09083
DB00563	DB01032
DB00048	DB06779
DB01080	DB06204
DB00524	DB00752
DB01013	DB09067
DB01208	DB08976
DB01254	DB06723
DB00790	DB00806
DB00370	DB01367
DB00266	DB08860
DB00615	DB06290
DB01118	DB09118
DB00021	DB06153
DB00696	DB00767
DB00503	DB01309
DB01609	DB08881
DB00475	DB09118
DB00224	DB08881
DB01045	DB01072
DB00554	DB01172
DB00745	DB00865
DB00031	DB01294
DB00575	DB00765
DB00704	DB09049
DB01109	DB08887
DB00201	DB00819
DB01198	DB06273
DB00933	DB00989
DB00289	DB00598
DB01232	DB06228
DB00653	DB00697
DB00489	DB08976
DB00215	DB01156
DB01032	DB01150
DB01168	DB09242
DB00029	DB06779
DB00864	DB09330
DB08899	DB09277
DB00035	DB00652
DB00252	DB01083
DB00261	DB00932
DB01018	DB06273
DB00398	DB02659
DB06237	DB06636
DB00661	DB09407
DB00041	DB00384
DB00819	DB01398
DB00277	DB00307
DB00498	DB00932
DB00401	DB01355
DB00371	DB00956
DB00884	DB01129
DB00237	DB01612
DB00382	DB01238
DB00266	DB01416
DB00331	DB00555
DB00393	DB01609
DB04908	DB09119
DB00213	DB01576
DB01002	DB08873
DB00220	DB00673
DB00425	DB05271
DB00854	DB01017
DB00181	DB00996
DB00215	DB04272
DB00007	DB00289
DB00007	DB00927
DB00451	DB00658
DB00332	DB01176
DB00388	DB11124
DB00021	DB01062
DB00214	DB00921
DB00409	DB01142
DB00881	DB06212
DB00668	DB01016
DB00434	DB00898
DB00898	DB00996
DB08820	DB08918
DB00337	DB00673
DB00806	DB09068
DB00007	DB01306
DB00820	DB04861
DB00318	DB01403
DB01175	DB01403
DB00628	DB00673
DB00268	DB00312
DB00925	DB00996
DB00215	DB00675
DB00619	DB04884
DB00972	DB01351
DB04839	DB06203
DB01332	DB01418
DB04876	DB06791
DB00540	DB01100
DB00201	DB01021
DB00091	DB00381
DB00331	DB00367
DB01024	DB06723
DB00957	DB01418
DB01045	DB01211
DB01054	DB11093
DB00073	DB00206
DB00489	DB06723
DB00014	DB00889
DB00220	DB01062
DB00363	DB09118
DB00648	DB05521
DB00460	DB00523
DB00586	DB01021
DB00359	DB04938
DB00327	DB00887
DB01114	DB09076
DB00703	DB01560
DB00834	DB00934
DB00554	DB01418
DB00007	DB01233
DB00022	DB00734
DB01323	DB04839
DB00220	DB00829
DB00387	DB01176
DB00317	DB00682
DB00331	DB00436
DB00181	DB00405
DB00865	DB00988
DB04896	DB06144
DB00334	DB08881
DB05521	DB05773
DB00477	DB00989
DB01050	DB01082
DB00673	DB00717
DB00790	DB06287
DB00662	DB01278
DB00248	DB01623
DB00425	DB08820
DB00203	DB00359
DB00490	DB00889
DB00712	DB01203
DB00040	DB00682
DB00269	DB09547
DB00621	DB06203
DB01275	DB08976
DB00628	DB00956
DB00990	DB09036
DB01149	DB05812
DB01222	DB08933
DB00413	DB09072
DB00823	DB06404
DB06273	DB09073
DB00413	DB00753
DB00541	DB00648
DB00021	DB11315
DB00691	DB09242
DB00031	DB00784
DB00661	DB01166
DB00598	DB00938
DB00703	DB01355
DB00041	DB00571
DB00765	DB08872
DB00450	DB01198
DB01201	DB05109
DB01224	DB06700
DB00390	DB04908
DB09039	DB09075
DB01247	DB06148
DB00065	DB00586
DB00054	DB00163
DB00423	DB05271
DB01072	DB04876
DB00765	DB01106
DB01021	DB06282
DB00956	DB00999
DB01173	DB01192
DB00214	DB01251
DB00379	DB09071
DB00975	DB01203
DB00227	DB09054
DB00204	DB00714
DB00222	DB00731
DB01263	DB01394
DB00605	DB00930
DB00899	DB09072
DB00390	DB09063
DB00750	DB06795
DB00181	DB00356
DB00635	DB01021
DB00294	DB00682
DB00409	DB08918
DB00863	DB01319
DB00903	DB01551
DB00443	DB01398
DB00300	DB06696
DB00280	DB00715
DB00264	DB08868
DB00404	DB08933
DB00601	DB00852
DB00537	DB00881
DB00398	DB00559
DB00243	DB00741
DB00470	DB00996
DB00177	DB00586
DB00489	DB01158
DB00332	DB00623
DB01307	DB01319
DB01277	DB06335
DB00528	DB11126
DB00103	DB01118
DB00201	DB00374
DB00041	DB01354
DB00470	DB00564
DB00458	DB00488
DB01255	DB08824
DB00564	DB09065
DB00007	DB00949
DB00307	DB00641
DB06791	DB08877
DB00182	DB04946
DB00457	DB00598
DB00007	DB01267
DB06290	DB06626
DB00967	DB09117
DB00871	DB01274
DB00188	DB00501
DB01291	DB09059
DB01058	DB09118
DB00177	DB00575
DB00220	DB00773
DB01609	DB09401
DB00083	DB03615
DB01330	DB03615
DB00327	DB09072
DB00393	DB00976
DB00321	DB00839
DB00266	DB00415
DB06287	DB08907
DB00819	DB09214
DB00180	DB01072
DB01068	DB08820
DB00932	DB06817
DB01144	DB01320
DB00831	DB01041
DB00341	DB01173
DB00561	DB06704
DB00333	DB01624
DB00503	DB01120
DB01263	DB06212
DB00196	DB00381
DB00211	DB01203
DB06209	DB06605
DB00252	DB01558
DB00673	DB01219
DB00196	DB06207
DB01211	DB02703
DB09065	DB09079
DB00748	DB06201
DB00196	DB01624
DB01076	DB08820
DB00765	DB01063
DB01208	DB06791
DB01242	DB01354
DB00282	DB05578
DB00231	DB01173
DB00768	DB00895
DB00594	DB00813
DB00656	DB00889
DB00414	DB00687
DB01232	DB01601
DB04908	DB06616
DB00472	DB01207
DB00224	DB10532
DB00211	DB00427
DB01381	DB01399
DB00477	DB06603
DB00193	DB00433
DB00470	DB01288
DB00976	DB01254
DB01235	DB08822
DB00065	DB06695
DB00489	DB01354
DB00218	DB09083
DB00220	DB04845
DB00460	DB01124
DB00285	DB00368
DB00710	DB01172
DB00720	DB00798
DB00468	DB00624
DB00503	DB06290
DB00541	DB05521
DB00653	DB11110
DB00415	DB09268
DB00081	DB00476
DB00351	DB08882
DB08865	DB09118
DB01024	DB01377
DB00472	DB01356
DB00661	DB06218
DB00459	DB00717
DB01087	DB04910
DB00295	DB01242
DB00334	DB00414
DB00557	DB00854
DB06695	DB08794
DB00564	DB00872
DB00065	DB00373
DB01551	DB04865
DB00082	DB01277
DB00013	DB00261
DB00715	DB09045
DB01232	DB08895
DB00690	DB09073
DB00030	DB09063
DB00427	DB00752
DB00502	DB00765
DB00921	DB01595
DB00780	DB00921
DB00897	DB09065
DB00780	DB06655
DB00930	DB01393
DB01064	DB05039
DB01319	DB04876
DB00295	DB00758
DB09068	DB09118
DB00382	DB00985
DB00186	DB01235
DB00029	DB08976
DB01149	DB08820
DB00450	DB08872
DB00443	DB01309
DB00794	DB00997
DB00623	DB01560
DB00932	DB01048
DB00559	DB01020
DB00884	DB06207
DB00656	DB01254
DB00072	DB10829
DB00366	DB01215
DB00484	DB01551
DB00999	DB08907
DB00454	DB01037
DB00046	DB01590
DB00073	DB00622
DB00304	DB06754
DB00177	DB04884
DB00207	DB08870
DB00476	DB00974
DB00072	DB00480
DB00898	DB06216
DB00555	DB00925
DB01036	DB08873
DB00364	DB00595
DB00482	DB06702
DB00899	DB09272
DB00651	DB00668
DB00281	DB00872
DB00091	DB00625
DB00910	DB06723
DB00384	DB08813
DB00367	DB06717
DB00633	DB00752
DB00440	DB01132
DB00916	DB01008
DB00938	DB06636
DB00186	DB00423
DB00182	DB00935
DB01124	DB08914
DB00414	DB01380
DB00285	DB09118
DB01319	DB06273
DB00182	DB04837
DB08879	DB09077
DB00601	DB09209
DB01142	DB06144
DB04272	DB09053
DB01380	DB02901
DB01232	DB01264
DB00622	DB09073
DB00919	DB01415
DB00674	DB01104
DB00400	DB00603
DB00495	DB01264
DB00257	DB00864
DB01169	DB04817
DB01174	DB01182
DB01208	DB06792
DB01026	DB08895
DB00031	DB01398
DB01114	DB06603
DB00230	DB00542
DB01136	DB01355
DB00700	DB01167
DB00312	DB01359
DB01167	DB01256
DB00237	DB00401
DB00163	DB06605
DB00078	DB00465
DB00363	DB00446
DB00502	DB00669
DB00753	DB01403
DB00661	DB00877
DB00252	DB01124
DB00266	DB00468
DB01142	DB01409
DB00450	DB01595
DB00454	DB04831
DB00486	DB09300
DB00946	DB08816
DB01356	DB01367
DB00402	DB00470
DB00065	DB00808
DB00007	DB04946
DB00026	DB06168
DB00555	DB01201
DB00252	DB00266
DB00206	DB01203
DB00561	DB00752
DB00153	DB11057
DB00316	DB00321
DB00244	DB00352
DB00731	DB01251
DB01440	DB01567
DB06817	DB09407
DB00186	DB09118
DB00934	DB01624
DB00656	DB01367
DB00794	DB00949
DB00564	DB00990
DB00214	DB09080
DB00343	DB00641
DB00573	DB01207
DB00401	DB08933
DB00263	DB00270
DB00073	DB01162
DB00368	DB01291
DB01609	DB06413
DB00705	DB01264
DB00277	DB00501
DB00564	DB09053
DB00186	DB01081
DB00598	DB01579
DB00758	DB06413
DB00404	DB00976
DB00673	DB00696
DB00065	DB00864
DB00470	DB00834
DB01232	DB03880
DB00582	DB08820
DB00230	DB00486
DB00159	DB00569
DB00013	DB08976
DB00159	DB00573
DB00661	DB01220
DB00661	DB01045
DB01182	DB01201
DB00908	DB04920
DB00252	DB01285
DB00898	DB09071
DB00334	DB00472
DB00046	DB00945
DB00374	DB00418
DB00798	DB08976
DB00206	DB00373
DB00366	DB00996
DB00749	DB00864
DB00457	DB08935
DB00497	DB00559
DB00418	DB00949
DB00564	DB00705
DB00315	DB00904
DB01018	DB06204
DB00030	DB01319
DB00337	DB01268
DB01181	DB01319
DB01320	DB09280
DB01045	DB06335
DB00270	DB01609
DB00078	DB01656
DB00246	DB01171
DB00972	DB00996
DB01306	DB04876
DB00332	DB01193
DB00294	DB00930
DB00955	DB08976
DB08822	DB09026
DB00321	DB09042
DB00619	DB08820
DB00216	DB00503
DB00440	DB09477
DB00535	DB01032
DB00544	DB06688
DB00270	DB01263
DB00476	DB01614
DB00850	DB09076
DB01427	DB11093
DB00014	DB00674
DB00029	DB01418
DB00191	DB00588
DB00813	DB01017
DB00252	DB01567
DB00412	DB00945
DB00613	DB09118
DB00585	DB00893
DB01018	DB01235
DB00014	DB01001
DB00072	DB00098
DB01254	DB06290
DB00368	DB09273
DB00564	DB04855
DB00421	DB00449
DB00054	DB00328
DB00029	DB06228
DB01254	DB06724
DB00608	DB01103
DB09063	DB09071
DB00477	DB09042
DB00765	DB04946
DB00035	DB01234
DB00363	DB00865
DB00975	DB01359
DB00304	DB00946
DB00311	DB01576
DB01288	DB06701
DB00070	DB00741
DB01410	DB09063
DB00722	DB09242
DB00414	DB00627
DB00946	DB01240
DB00246	DB00653
DB00054	DB09255
DB00238	DB06273
DB00519	DB01354
DB00946	DB06695
DB00948	DB01172
DB01614	DB06723
DB01166	DB06779
DB00731	DB01609
DB00333	DB09048
DB00893	DB00968
DB06605	DB08794
DB00762	DB01656
DB00712	DB08794
DB06813	DB08895
DB00625	DB09143
DB00243	DB00975
DB00668	DB01367
DB01041	DB06273
DB00835	DB08883
DB00260	DB09268
DB00564	DB09034
DB00402	DB00450
DB01238	DB06287
DB01560	DB06723
DB00204	DB01076
DB00571	DB00744
DB00653	DB00835
DB01600	DB06271
DB00304	DB01307
DB00661	DB01076
DB00297	DB01136
DB00007	DB00743
DB00768	DB06204
DB00997	DB06273
DB00270	DB09036
DB00651	DB01559
DB00294	DB01355
DB01203	DB01251
DB00346	DB08933
DB00557	DB09128
DB00193	DB00679
DB00181	DB01551
DB00313	DB06819
DB00572	DB09272
DB00089	DB04574
DB00206	DB06684
DB00780	DB06204
DB00258	DB00884
DB00477	DB01242
DB00898	DB00906
DB00285	DB00633
DB00457	DB00862
DB00771	DB00972
DB00042	DB01173
DB00203	DB09048
DB00470	DB01595
DB00214	DB01285
DB00834	DB00862
DB00248	DB00953
DB00312	DB00393
DB00610	DB00938
DB00904	DB00953
DB00285	DB00831
DB01182	DB09065
DB00311	DB00794
DB01380	DB01398
DB01072	DB06603
DB01394	DB09053
DB00622	DB01030
DB00563	DB01602
DB08865	DB09074
DB00166	DB01016
DB00999	DB01016
DB00193	DB01238
DB00396	DB08916
DB00285	DB00461
DB00181	DB00679
DB00470	DB08873
DB00193	DB00408
DB01177	DB01656
DB00273	DB00908
DB01211	DB09268
DB01222	DB09048
DB00283	DB00484
DB00031	DB00861
DB00563	DB00795
DB00013	DB06605
DB00014	DB09083
DB00401	DB00565
DB00927	DB06589
DB00434	DB00921
DB00214	DB01294
DB01142	DB01403
DB01156	DB01238
DB00474	DB00727
DB00980	DB09034
DB00295	DB00985
DB00266	DB00535
DB01463	DB09042
DB00395	DB00486
DB00188	DB00304
DB00498	DB06822
DB00687	DB01397
DB00227	DB09048
DB00765	DB01080
DB01118	DB09128
DB06786	DB09067
DB00823	DB01355
DB00252	DB08912
DB00820	DB00834
DB00321	DB01463
DB00041	DB04711
DB01182	DB08893
DB00454	DB00524
DB00486	DB00575
DB00731	DB09118
DB00437	DB00682
DB01002	DB01167
DB00294	DB01353
DB00543	DB09042
DB00196	DB01198
DB00454	DB06274
DB00834	DB08827
DB00842	DB01041
DB00887	DB01309
DB06724	DB06824
DB00472	DB01233
DB06700	DB08824
DB00224	DB06605
DB00246	DB00476
DB01018	DB05521
DB00889	DB01175
DB00472	DB00726
DB00497	DB00880
DB00030	DB00864
DB00191	DB01064
DB00593	DB01403
DB00091	DB06663
DB01017	DB01440
DB00363	DB09570
DB00252	DB00472
DB00696	DB04871
DB00414	DB00783
DB00615	DB01601
DB00059	DB08895
DB00158	DB00794
DB00784	DB09026
DB00263	DB00997
DB01045	DB05109
DB00176	DB03619
DB00343	DB02703
DB00503	DB04845
DB00813	DB08912
DB01320	DB08912
DB00252	DB00759
DB00333	DB01247
DB00603	DB01353
DB01149	DB01403
DB00015	DB08918
DB00193	DB00216
DB01586	DB04574
DB00332	DB00983
DB00046	DB00864
DB00035	DB00788
DB00860	DB06688
DB00206	DB01353
DB00908	DB01030
DB01589	DB06201
DB00661	DB00976
DB01041	DB01176
DB00108	DB06688
DB00458	DB01156
DB00321	DB00465
DB00159	DB01234
DB00215	DB00736
DB00697	DB09083
DB00715	DB01136
DB00215	DB00501
DB00196	DB00549
DB00370	DB00486
DB01590	DB09291
DB00929	DB06724
DB08976	DB09295
DB01223	DB01323
DB00449	DB01288
DB01173	DB04908
DB00835	DB00865
DB00126	DB00191
DB01291	DB09273
DB00422	DB01129
DB00193	DB01232
DB00333	DB00997
DB00661	DB00806
DB00408	DB09290
DB00946	DB06684
DB01049	DB01463
DB01264	DB02703
DB09048	DB09401
DB06636	DB09034
DB00834	DB01221
DB00728	DB01172
DB00227	DB01026
DB00773	DB08895
DB00104	DB00335
DB01023	DB09118
DB00254	DB00657
DB06688	DB09052
DB00222	DB00460
DB00569	DB06779
DB00765	DB01174
DB01023	DB01026
DB00541	DB01118
DB00745	DB01556
DB00696	DB01063
DB00767	DB09042
DB00120	DB00864
DB00679	DB06603
DB00344	DB01355
DB01118	DB08912
DB00232	DB00484
DB00375	DB00563
DB00400	DB01238
DB00186	DB00753
DB00341	DB05271
DB00215	DB00557
DB01083	DB04982
DB06791	DB08895
DB00540	DB01403
DB01201	DB01224
DB00682	DB09545
DB00374	DB00974
DB00374	DB00758
DB00378	DB01418
DB00367	DB09119
DB00420	DB01149
DB00486	DB01173
DB00864	DB00976
DB00479	DB00833
DB00610	DB11124
DB00404	DB01264
DB00502	DB00715
DB00013	DB00945
DB01242	DB01355
DB00470	DB05246
DB00683	DB00898
DB00625	DB01589
DB00146	DB00390
DB01211	DB09071
DB00537	DB00900
DB00252	DB00530
DB00211	DB06704
DB08912	DB09123
DB00470	DB06706
DB00390	DB00482
DB01166	DB11133
DB01171	DB01247
DB01268	DB06290
DB01211	DB01256
DB00208	DB08912
DB00346	DB00722
DB00950	DB06148
DB00752	DB00834
DB01136	DB01232
DB01606	DB09268
DB00623	DB00726
DB00214	DB00813
DB00752	DB00925
DB01232	DB08867
DB00270	DB00976
DB00498	DB00783
DB00477	DB01278
DB00669	DB00679
DB00316	DB00379
DB00898	DB00980
DB00678	DB01355
DB00351	DB00974
DB01104	DB01624
DB04876	DB05278
DB00382	DB01247
DB00820	DB06717
DB00295	DB00370
DB00611	DB04831
DB00771	DB09271
DB00976	DB08903
DB01168	DB01356
DB00768	DB04924
DB00252	DB00273
DB00384	DB01395
DB00860	DB01211
DB00687	DB01010
DB00343	DB01198
DB01072	DB01181
DB00497	DB01171
DB00091	DB01136
DB00337	DB00570
DB00678	DB00700
DB06589	DB08827
DB00539	DB00976
DB00682	DB08880
DB01264	DB01306
DB00794	DB08883
DB00280	DB00780
DB00765	DB09128
DB00344	DB00408
DB00266	DB00359
DB00022	DB01069
DB00051	DB06273
DB00367	DB06271
DB01184	DB09063
DB00474	DB04861
DB00316	DB09273
DB00374	DB00932
DB00541	DB01320
DB00290	DB01097
DB00788	DB01254
DB00524	DB00912
DB01203	DB09242
DB00485	DB00759
DB00653	DB01198
DB00220	DB00309
DB00126	DB01560
DB06413	DB09273
DB00788	DB06813
DB00860	DB09067
DB00305	DB00541
DB00307	DB06697
DB00484	DB06690
DB00307	DB01100
DB00503	DB01307
DB01579	DB06799
DB00717	DB06273
DB00072	DB08935
DB00418	DB00590
DB08899	DB09049
DB00762	DB00976
DB00967	DB04905
DB00441	DB00682
DB00839	DB01307
DB00474	DB00794
DB00425	DB09073
DB01198	DB09117
DB01211	DB09119
DB01223	DB08912
DB00790	DB01015
DB00334	DB01168
DB00542	DB06212
DB00046	DB01119
DB01225	DB06209
DB00222	DB00903
DB00215	DB00270
DB00047	DB01268
DB00270	DB11110
DB00628	DB08933
DB00307	DB08903
DB00425	DB06153
DB00715	DB06292
DB00864	DB09545
DB00333	DB01320
DB00382	DB01114
DB00999	DB01120
DB00252	DB00537
DB00708	DB09083
DB00313	DB00344
DB00458	DB09076
DB00780	DB00956
DB00904	DB01367
DB00252	DB00381
DB01026	DB06589
DB00186	DB00395
DB01017	DB11354
DB01002	DB01072
DB00316	DB00474
DB01351	DB09288
DB01440	DB01589
DB01380	DB09063
DB00794	DB01656
DB00327	DB00606
DB00388	DB00598
DB01112	DB09104
DB00208	DB00514
DB08896	DB08899
DB00492	DB00945
DB00215	DB00710
DB00227	DB01118
DB00381	DB00794
DB00658	DB00864
DB06441	DB06605
DB00104	DB06216
DB00294	DB00418
DB00366	DB04908
DB00775	DB00974
DB00404	DB01323
DB00220	DB04835
DB00780	DB06706
DB00089	DB00959
DB00233	DB00569
DB00390	DB00919
DB00414	DB01601
DB00191	DB06723
DB00641	DB06290
DB06616	DB08881
DB00022	DB09039
DB00091	DB00773
DB01609	DB09063
DB00502	DB01403
DB00388	DB00470
DB00187	DB00468
DB06605	DB08935
DB00280	DB09290
DB00661	DB08815
DB00182	DB00557
DB00073	DB00864
DB00263	DB00622
DB01380	DB06723
DB06201	DB09555
DB00030	DB06412
DB01208	DB06203
DB00794	DB00819
DB00377	DB06204
DB00181	DB09128
DB00363	DB01201
DB00928	DB06643
DB00214	DB01398
DB00844	DB00999
DB01017	DB08872
DB00723	DB00871
DB00559	DB01167
DB01104	DB01320
DB00422	DB00830
DB01076	DB01263
DB00193	DB00715
DB00726	DB09076
DB00770	DB00820
DB00739	DB00798
DB00541	DB00975
DB00163	DB09075
DB00317	DB01377
DB00203	DB09118
DB08931	DB09104
DB00311	DB01551
DB01100	DB01560
DB00625	DB09072
DB06335	DB09009
DB01041	DB06168
DB00237	DB00254
DB00422	DB00700
DB00946	DB03619
DB00898	DB00916
DB00007	DB00370
DB00193	DB04868
DB00358	DB06480
DB00521	DB06218
DB00871	DB00961
DB01023	DB01174
DB00268	DB00422
DB00921	DB01018
DB00454	DB01403
DB00768	DB09076
DB00661	DB01167
DB00368	DB01620
DB00780	DB01614
DB00091	DB00440
DB00073	DB01193
DB00215	DB01403
DB01038	DB01233
DB00246	DB01200
DB00448	DB00630
DB01247	DB06698
DB00934	DB06603
DB00407	DB00796
DB00605	DB00682
DB00300	DB01264
DB00374	DB09079
DB00889	DB00952
DB00951	DB01026
DB00440	DB09063
DB00816	DB00988
DB00180	DB01201
DB00782	DB09076
DB01017	DB01106
DB00408	DB01003
DB01323	DB04938
DB00938	DB05521
DB00959	DB06723
DB00391	DB01149
DB00502	DB01356
DB08815	DB09097
DB00692	DB00996
DB00767	DB00998
DB00180	DB01232
DB00316	DB01351
DB00393	DB01337
DB00450	DB01351
DB00588	DB01365
DB00332	DB01171
DB00648	DB09101
DB00104	DB01195
DB00337	DB08870
DB00126	DB01577
DB00732	DB01054
DB00040	DB01624
DB01238	DB01307
DB08439	DB08873
DB00598	DB01119
DB00393	DB01254
DB00220	DB00956
DB00401	DB00476
DB08815	DB09065
DB00343	DB06273
DB00188	DB01551
DB00458	DB00752
DB00333	DB00601
DB00541	DB00673
DB00169	DB01021
DB00461	DB01208
DB00737	DB08883
DB01002	DB01211
DB01399	DB09214
DB00244	DB00448
DB00450	DB04924
DB00177	DB00722
DB00220	DB00404
DB00184	DB00640
DB00337	DB01042
DB00366	DB06148
DB00502	DB00696
DB01032	DB01329
DB00501	DB09256
DB00819	DB01083
DB00904	DB09036
DB00696	DB00933
DB00500	DB01109
DB01026	DB09074
DB01277	DB08907
DB00742	DB01355
DB00989	DB04842
DB00668	DB09273
DB00248	DB01038
DB00040	DB01591
DB00831	DB01356
DB06168	DB06674
DB00775	DB01418
DB00420	DB09072
DB00186	DB00854
DB00543	DB06808
DB00041	DB01203
DB01076	DB01590
DB06153	DB09034
DB00338	DB06616
DB00220	DB01590
DB06688	DB08877
DB00072	DB01380
DB01018	DB01323
DB00177	DB08822
DB00307	DB08899
DB00014	DB00927
DB00250	DB02703
DB00972	DB01624
DB01030	DB08865
DB00285	DB09009
DB00258	DB09267
DB00047	DB01406
DB00252	DB00921
DB00220	DB00717
DB00195	DB00474
DB00519	DB06692
DB00273	DB00850
DB00705	DB06212
DB00007	DB00285
DB00047	DB00199
DB00717	DB08794
DB00474	DB00726
DB00279	DB09068
DB01577	DB09042
DB00041	DB00790
DB00474	DB09401
DB00187	DB04897
DB00880	DB01356
DB01020	DB09073
DB00834	DB01058
DB00440	DB00584
DB00089	DB01285
DB00393	DB01132
DB01395	DB09477
DB00723	DB06711
DB01254	DB06287
DB00422	DB00880
DB01005	DB01656
DB00035	DB00497
DB00295	DB01171
DB00841	DB11093
DB00332	DB00950
DB00497	DB01045
DB00337	DB00343
DB00956	DB01247
DB00983	DB01291
DB00956	DB00972
DB00046	DB01398
DB00563	DB00573
DB01097	DB10829
DB00712	DB01275
DB00224	DB06203
DB00564	DB00734
DB00390	DB09102
DB00007	DB06603
DB00356	DB01403
DB00263	DB01222
DB00465	DB00919
DB00197	DB01067
DB00196	DB00604
DB00390	DB05521
DB00468	DB00960
DB00502	DB09118
DB00820	DB00881
DB01595	DB08900
DB00214	DB00482
DB00503	DB01048
DB00822	DB00916
DB00215	DB06290
DB00470	DB01215
DB00370	DB00434
DB00790	DB06203
DB00399	DB00955
DB00014	DB00726
DB00196	DB00980
DB00320	DB01263
DB01068	DB09054
DB00417	DB01418
DB00933	DB01253
DB00346	DB00752
DB01021	DB01436
DB01075	DB09076
DB00313	DB01294
DB00281	DB08820
DB00314	DB06696
DB00477	DB09034
DB00543	DB01409
DB00188	DB00370
DB00334	DB01251
DB00391	DB06153
DB00468	DB09026
DB00333	DB01174
DB00715	DB01178
DB00475	DB09073
DB00860	DB01601
DB00295	DB00332
DB00007	DB01175
DB00450	DB00998
DB00248	DB01210
DB01072	DB04946
DB00625	DB08907
DB00040	DB00734
DB00543	DB06204
DB00887	DB01172
DB00806	DB01418
DB00972	DB04837
DB00696	DB01618
DB00197	DB08826
DB00007	DB01320
DB00373	DB08935
DB00269	DB04908
DB00498	DB00682
DB00477	DB00921
DB00648	DB01223
DB00181	DB00850
DB06695	DB08893
DB00202	DB00994
DB00492	DB00734
DB01072	DB01129
DB00468	DB09027
DB00490	DB01239
DB00277	DB01489
DB00586	DB00794
DB00976	DB01427
DB00907	DB09273
DB00243	DB01030
DB00575	DB06704
DB00898	DB01198
DB01115	DB01119
DB01175	DB01224
DB00559	DB08883
DB00252	DB00541
DB00224	DB01254
DB01416	DB09104
DB00816	DB00945
DB01432	DB08880
DB00490	DB00502
DB01039	DB01432
DB00875	DB01021
DB00875	DB01175
DB00780	DB00960
DB01026	DB01253
DB01014	DB01050
DB00224	DB08931
DB00047	DB06663
DB00210	DB00707
DB01097	DB08880
DB00182	DB00909
DB00814	DB01356
DB00950	DB09076
DB00871	DB01620
DB00741	DB01097
DB01136	DB09282
DB00490	DB01104
DB00540	DB00857
DB00285	DB00573
DB00224	DB00661
DB00379	DB00571
DB00468	DB01115
DB01234	DB06176
DB00753	DB00822
DB01118	DB04861
DB00839	DB01276
DB00672	DB01242
DB00334	DB01215
DB01012	DB09039
DB00387	DB01224
DB00847	DB01129
DB00211	DB00752
DB01083	DB06410
DB00758	DB04825
DB00220	DB00661
DB00479	DB00681
DB01068	DB01173
DB03619	DB06700
DB00237	DB01214
DB00370	DB01114
DB00030	DB00104
DB00273	DB01069
DB00266	DB01294
DB00834	DB06717
DB01064	DB01576
