DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key
DB00228,APRD00234,Enflurane,13838-16-9,91I69L5AY5,"2-chloro-1,1,2-trifluoroethyl difluoromethyl ether | Alyrane | Efrane | Enflurane | Enflurano | Enfluranum | Methylflurether",JPGQOUSTVILISH-UHFFFAOYSA-N
DB00229,APRD00855,Cefotiam,61622-34-2,91W6Z2N718,"(6R,7R)-7-[2-(2-Amino-thiazol-4-yl)-acetylamino]-3-[1-(2-dimethylamino-ethyl)-1H-tetrazol-5-ylsulfanylmethyl]-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefotiam | Cefotiamum | CTM",QYQDKDWGWDOFFU-IUODEOHRSA-N
DB00230,APRD01198,Pregabalin,148553-50-8,55JG375S6M,(S)-3-Isobutyl GABA | 3-Isobutyl GABA | Pregabalin | Pregabalina,AYXYPKUFHZROOJ-ZETCQYMHSA-N
DB00231,APRD00676,Temazepam,846-50-4,CHB1QD2QSS,Temazepam,SEQDDYPDSLOBDC-UHFFFAOYSA-N
DB00232,APRD01104,Methyclothiazide,135-07-9,L3H46UAC61,Methyclothiazide,CESYKOGBSMNBPD-UHFFFAOYSA-N
DB00233,APRD00749 | EXPT00693 | DB09367,Aminosalicylic acid,65-49-6,5B2658E0N2,4-amino-2-hydroxybenzoic acid | 4-aminosalicylate | 4-aminosalicylic acid | Aminosalicylic acid | p-aminosalicylic acid | para-amino salicylic acid | para-aminosalicylic acid | PAS,WUBBRNOQWQTFEX-UHFFFAOYSA-N
DB00234,APRD00198,Reboxetine,71620-89-8,947S0YZ36I,Reboxetina | Reboxetine,CBQGYUDMJHNJBX-RTBURBONSA-N
DB00235,APRD00010,Milrinone,78415-72-2,JU9YAX04C7,"1,6-Dihydro-2-methyl-6-oxo(3,4'-bipyridine)-5-carbonitrile | Milrinona | Milrinone | Milrinonum",PZRHRDRVRGEVNW-UHFFFAOYSA-N
DB00236,APRD00693,Pipobroman,54-91-1,6Q99RDT97R,"1,4-bis(3-bromopropionyl)piperazine | N,N-bis-(3-bromopropionyl)-piperazine | Pipobroman | Pipobromanum",NJBFOOCLYDNZJN-UHFFFAOYSA-N
DB00237,APRD00752,Butabarbital,125-40-6,P0078O25A9,"5-ethyl-5-(1-methylpropyl)-2,4,6(1H,3H,5H)-pyrimidinetrione | 5-ethyl-5-(1-methylpropyl)barbituric acid | 5-sec-butyl-5-ethyl-2,4,6(1H,3H,5H)-pyrimidinetrione | 5-sec-butyl-5-ethylbarbituric acid | 5-sec-butyl-5-ethylpyrimidine-2,4,6(1H,3H,5H)-trione | Butabarbital | Secbutabarbital | Secbutabarbitale | Secbutabarbitalum",ZRIHAIZYIMGOAB-UHFFFAOYSA-N
DB00238,APRD00705 | DB08311,Nevirapine,129618-40-2,99DK7FVK1H,"11-cyclopropyl-5,11-dihydro-4-methyl-6H-dipyrido(3,2-b:2',3'-e)(1,4)diazepin-6-one | NEV | Nevirapina | Nevirapine | Nevirapine anhydrous | Nevirapine, anhydrous | NVP",NQDJXKOVJZTUJA-UHFFFAOYSA-N
DB00239,APRD01154,Oxiconazole,64211-45-6,C668Q9I33J,"2',4'-Dichloro-2-imidazol-1-ylacetophenone (Z)-[O-(2,4-dichlorobenzyl)oxime] | Oxiconazol | Oxiconazole | Oxiconazolum",QRJJEGAJXVEBNE-HKOYGPOVSA-N
DB00240,APRD00783,Alclometasone,67452-97-5,136H45TB7B,"(7alpha,11beta,16alpha)-7-chloro-11,17,21-trihydroxy-16-methylpregna-1,4-diene-3,20-dione | 7α-Chloro-16α-methylprednisolone | Alclometasone",FJXOGVLKCZQRDN-PHCHRAKRSA-N
DB00241,APRD00266,Butalbital,77-26-9,KHS0AZ4JVK,"5-(2-methylpropyl)-5-prop-2-enyl-1,3-diazinane-2,4,6-trione | 5-allyl-5-(2-methylpropyl)barbituric acid | 5-allyl-5-(2'-methyl-n-propyl) barbituric acid | 5-allyl-5-isobutyl-2,4,6(1H,3H,5H)-pyrimidinetrione | 5-Allyl-5-isobutyl-pyrimidine-2,4,6-trione | 5-allyl-5-isobutylbarbituric acid | 5-isobutyl-5-allylbarbituric acid | Allylbarbital | Allylbarbitone | Allylbarbituric acid | Butalbarbital | Butalbital | Butalbitalum | iso-butylallylbarbituric acid | Itobarbital | Tetrallobarbital",UZVHFVZFNXBMQJ-UHFFFAOYSA-N
DB00242,APRD00260,Cladribine,4291-63-8,47M74X9YT5,"(2R,3S,5R)-5-(6-amino-2-chloropurin-9-yl)-2-(hydroxymethyl)oxolan-3-ol | 2-CdA | 2-Chloro-2'-deoxy-beta-adenosine | 2-Chloro-2'-deoxyadenosine | 2-chloro-6-amino-9-(2-deoxy-β-D-erythro-pentofuranosyl)purine | 2-chloro-deoxyadenosine | 2-Chlorodeoxyadenosine | 2ClAdo | Cladribina | Cladribine | Cladribinum | CldAdo",PTOAARAWEBMLNO-KVQBGUIXSA-N
DB00243,APRD01300,Ranolazine,95635-55-5,A6IEZ5M406,Ranolazina | Ranolazine,XKLMZUWKNUAPSZ-UHFFFAOYSA-N
DB00244,APRD01098 | DB05376 | DB06396,Mesalazine,89-57-6,4Q81I59GXC,3-carboxy-4-hydroxyaniline | 5-aminosalicylic acid | 5-ASA | m-Aminosalicylic acid | Mesalamine | Mesalazina | Mésalazine | Mesalazine | Mesalazinum | p-Aminosalicylsaeure,KBOPZPXVLCULAV-UHFFFAOYSA-N
DB00245,APRD00748,Benzatropine,86-13-5,1NHL2J4X8K,"3-alpha-(diphenylmethoxy)tropane | 3endo-benzhydryloxytropane | 3α-(diphenylmethoxy)-1αH,5αH-tropane | 3α-(diphenylmethoxy)tropane | 3α-benzhydryloxy-8-methyl-8-azabicyclo[3.2.1]octane | Benzatropina | Benzatropine | Benzatropinum | benzhydryl 8-methyl-8-azabicyclo[3.2.1]oct-3-yl ether | Benztropine | Tropine benzohydryl ether",GIJXKZJWITVLHI-PMOLBWCYSA-N
DB00246,APRD00540,Ziprasidone,146939-27-7,6UKA5VEJ6X,Ziprasidona | Ziprasidone | Ziprasidonum,MVWVFYHBGMAFLY-UHFFFAOYSA-N
DB00247,APRD00463,Methysergide,361-37-5,XZA9HY6Z98,"(+)-9,10-Didehydro-N-(1-(hydroxymethyl)propyl)-1,6-dimethylergoline-8β-carboxamide | (+)-N-(1-(Hydroxymethyl)propyl)-1-methyl-D-lysergamide | 1-Methyl-D-lysergic acid butanolamide | 1-Methyl-dextro-lysergic acid (+)-1-hydroxy-2-butylamide | 1-Methyllysergic acid butanolamide | 1-Methylmethylergonovine | 9,10-Didehydro-N-(1-(hydroxymethyl)propyl)-1,6-dimethylergoline-8-carboxamide | Méthysergide | Methysergide | Methysergidum | Metisergida | Metisergido | N-(1-(Hydroxymethyl)propyl)-1-methyl-dextro-(+)-lysergamide",KPJZHOPZRAFDTN-NQUBZZJWSA-N
DB00248,APRD00836,Cabergoline,81409-90-7,LL60K9J05T,(8R)-6-allyl-N-[3-(dimethylamino)propyl]-N-(ethylcarbamoyl)ergoline-8-carboxamide | (8β)-N-[3-(dimethylamino)propyl]-N-[(ethylamino)carbonyl]-6-(2-propenyl)-ergoline-8-carboxamide | 1-((6-allylergolin-8β-yl)carbonyl)-1-(3-(dimethylamino)propyl)-3-ethylurea | 1-[(6-allylergoline-8β-yl)carbonyl]-1-[3-(dimethylamino)propyl]-3-ethylurea | 1-ethyl-3-(3'-dimethylamionpropyl)-2-(6'-allylergoline-8'β-carbonyl)urea | Cabergolina | Cabergoline | Cabergolinum,KORNTPPJEAJQIU-KJXAQDMKSA-N
DB00249,APRD00504 | EXPT01835 | DB03778,Idoxuridine,54-42-2,LGP81V5245,(+)-5-Iodo-2'-deoxyuridine | 1-(2-Deoxy-beta-D-ribofuranosyl)-5-iodouracil | 1-beta-D-2'-Deoxyribofuranosyl-5-iodouracil | 1beta-D-2'-Deoxyribofuranosyl-5-iodouracil | 2'-Deoxy-5-iodouridine | 5-iodo-2'-deoxyuridine | 5-Iododeoxyuridine | 5-Iodouracil deoxyriboside | Idoxuridin | Idoxuridina | Idoxuridine | Idoxuridinum | IdU | Iododeoxyridine | Iodoxuridine | Joddeoxiuridin,XQFRJNBWHJMXHO-RRKCRQDMSA-N
DB00250,APRD00345,Dapsone,80-08-0,8W5C518302,"1,1'-sulfonylbis(4-aminobenzene) | 1,1'-Sulfonylbis[4-aminobenzene] | 4-(4-amino-benzenesulfonyl)-phenylamine | 4-(4-aminophenylsulfonyl)aniline | 4-(4-aminophenylsulfonyl)benzenamine | 4-aminophenyl sulfone | 4,4'-dapsone | 4,4'-diaminodiphenyl sulfone | 4,4'-Diaminodiphenyl sulphone | 4,4'-Diaminodiphenylsulfone | 4,4'-sulfonylbisaniline | 4,4'-Sulfonylbisbenzenamine | 4,4'-Sulfonylbisbenzeneamine | 4,4'-Sulfonyldianilin | 4,4'-sulfonyldianiline | bis(4-aminophenyl)sulfone | Bis(p-aminophenyl) sulfone | DADPS | Dapsona | Dapsone | Dapsonum | DDS | Diaphenylsulfone | p-aminophenyl sulfone | p,p-sulphonylbisbenzamine | p,p-sulphonylbisbenzenamine | p,p'-diaminodiphenyl sulfone",MQJKPEGWNLWLTK-UHFFFAOYSA-N
DB00251,APRD00659,Terconazole,67915-31-5,0KJ2VE664U,Terconazole,BLSQLHNBWJLIBQ-ZEQKJWHPSA-N
DB00252,APRD00241,Phenytoin,57-41-0,6158TKW0C5,"5,5-Diphenyl-imidazolidine-2,4-dione | 5,5-diphenylimidazolidine-2,4-dione | 5,5-diphenyltetrahydro-1H-2,4-imidazoledione	 | 5,5-Diphenyltetrahydro-1H-2,4-imidazoledione | Diphenylhydantoin | Fenitoina | Phentytoin | Phenytoin | Phenytoine | Phenytoinum | PR-122 (redox-phenytoin) | Redox-phenytoin",CXOFVDLJLONNDW-UHFFFAOYSA-N
DB00253,APRD01091,Medrysone,2668-66-8,D2UFC189XF,"11beta-Hydroxy-6alpha-methylpregn-4-ene-3,20-dione | Medrisona | Medrysone | Medrysonum",GZENKSODFLBBHQ-ILSZZQPISA-N
DB00254,APRD00597,Doxycycline,564-25-0,334895S862,5-hydroxy-α-6-deoxytetracycline | 6-alpha-deoxy-5-oxytetracycline | 6alpha-deoxy-5-oxytetracycline | 6α-deoxy-5-oxytetracycline | Anhydrous doxycycline | Doxiciclina | Doxycyclin | Doxycycline | Doxycycline (anhydrous) | Doxycycline anhydrous | Doxycyclinum,JBIWCJUYHHGXTC-AKNGSSGZSA-N
DB00255,APRD00920 | EXPT01164,Diethylstilbestrol,56-53-1,731DCA35BT,"(E)-3,4-bis(4-hydroxyphenyl)-3-hexene | (E)-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol | 4,4'-dihydroxy-α,β-diethylstilbene | DES | Diethylstilbestrol | Diéthylstilbestrol | Diethylstilbestrolum | Dietilestilbestrol | Stilboestrol | trans-4,4'-(1,2-diethyl-1,2-ethenediyl)bisphenol | trans-Diethylstilbesterol | trans-Diethylstilbestrol | trans-Diethylstilboesterol | α,α'-diethyl-(E)-4,4'-stilbenediol",RGLYKWWBQGJZGM-ISLYRVAYSA-N
DB00256,APRD00565 | EXPT01049,Lymecycline,992-21-2,7D6EM3S13P,"(+)-N-(5-Amino-5-carboxypentylaminomethyl)-4-dimethylamino-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxonaphthacene-2-carboxamide | Limeciclina | Lymecycline | Lymecyclinum | N-Lysinomethyltetracycline | N2-(((+)-5-Amino-5-carboxypentylamino)methyl)tetracycline | N6-((4-(Dimethylamino)-1,4,4a,5,5a,6,11,12a-octahydro-3,6,10,12,12a-pentahydroxy-6-methyl-1,11-dioxo-2-naphthacenecarboxamido)methyl)lysine | Tetracycline-L-methylene lysine | Tetracycline-L-methylenelysine",AHEVKYYGXVEWNO-UEPZRUIBSA-N
DB00257,APRD00244,Clotrimazole,23593-75-1,G07GZ97H65,"1-((2-Chlorophenyl)diphenylmethyl)-1H-imidazole | 1-(o-Chloro-α,α-diphenylbenzyl)imidazole | 1-(o-Chlorotrityl)imidazole | 1-(α-(2-Chlorophenyl)benzhydryl)imidazole | Clotrimazol | Clotrimazole | Clotrimazolum",VNFPBHJOKIVQEB-UHFFFAOYSA-N
DB00258,APRD00839,Calcium acetate,62-54-4,Y882YXF34X,Acetate of lime | Brown acetate of lime | Calcio acetato | Calcium acetate | calcium ethanoate | calcium(II) acetate | Gray acetate of lime | Lime acetate | Lime pyrolignite,VSGNNIFQASZAOI-UHFFFAOYSA-L
DB00259,APRD00438,Sulfanilamide,63-74-1,21240MF57M,4-aminobenzene sulfonic acid amide | 4-azanylbenzenesulfonamide | p-aminobenzenesulfamide | p-aminobenzenesulfonamide | para-aminobenzenesulfonamide | Prontosil album | SA | Streptocide | Sulfamine | Sulfanilamida | Sulfanilamide | Sulfanilamidum | Sulphanilamide,FDDDEECHVMSUSB-UHFFFAOYSA-N
DB00260,APRD00894 | DB03123,Cycloserine,68-41-7,95IK5KI84Z,(+)-4-amino-3-isoxazolidinone | (+)-cycloserine | alpha-Cycloserine | Cicloserina | cyclo-D-Serine | Cyclosérine | Cycloserine | Cycloserinum | D-(+)-cycloserine | D-4-amino-3-isoxazolidinone | D-4-amino-3-isoxazolidone | D-Cycloserine | DCS | Orientomycin | α-Cycloserine,DYDCUQKUCUHJBH-UWTATZPHSA-N
DB00261,APRD00798,Anagrelide,68475-42-3,K9X45X0051,Anagrelida | Anagrelide | Anagrelidum,OTBXOEAOVRKTNQ-UHFFFAOYSA-N
DB00262,APRD00006,Carmustine,154-93-8,U68WG3173Y,"BCNU | bis-chloroethylnitrosourea | Bischloroethyl nitrosourea | Carmustina | Carmustine | Carmustinum | N,N'-Bis(2-chloroethyl)-N-nitrosourea",DLGOEMSEDOSKAD-UHFFFAOYSA-N
DB00263,APRD00595,Sulfisoxazole,127-69-5,740T4C525W,"3,4-Dimethyl-5-sulfanilamidoisoxazole | 3,4-Dimethyl-5-sulfonamidoisoxazole | 3,4-Dimethyl-5-sulphanilamidoisoxazole | 3,4-Dimethyl-5-sulphonamidoisoxazole | 3,4-Dimethylisoxazole-5-sulfanilamide | 3,4-Dimethylisoxazole-5-sulphanilamide | 4-Amino-N-(3,4-dimethyl-5-isoxazolyl)benzenesulfonamide | 4-Amino-N-(3,4-dimethyl-5-isoxazolyl)benzenesulphonamide | 5-(4-Aminophenylsulfonamido)-3,4-dimethylisoxazole | 5-(p-Aminobenzenesulfonamido)-3,4-dimethylisoxazole | 5-(p-Aminobenzenesulphonamido)-3,4-dimethylisoxazole | 5-Sulfanilamido-3,4-dimethylisoxazole | 5-Sulphanilamido-3,4-dimethyl-isoxazole | N'-(3,4)Dimethylisoxazol-5-yl-sulphanilamide | N1-(3,4-dimethyl-5-isoxazolyl)sulfanilamide | N1-(3,4-dimethyl-5-isoxazolyl)sulphanilamide | Sulfadimethylisoxazole | Sulfafurazol | Sulfafurazole | Sulfafurazolum | Sulfaisoxazole | Sulfasoxazole | Sulfisonazole | Sulfisoxasole | Sulfisoxazol | Sulfisoxazole | Sulfofurazole | Sulphadimethylisoxazole | Sulphafurazol | Sulphafurazole | Sulphaisoxazole | Sulphisoxazol | Sulphofurazole",NHUHCSRWZMLRLA-UHFFFAOYSA-N
DB00264,APRD00208,Metoprolol,51384-51-1,GEB06NHM23,(RS)-Metoprolol | 1-(isopropylamino)-3-[4-(2-methoxyethyl)phenoxy]propan-2-ol | DL-metoprolol | Metoprolol,IUBSYMUCCVWXPE-UHFFFAOYSA-N
DB00265,APRD00211,Crotamiton,483-63-6,2EEH27851Y,Crotamiton,DNTGGZPQPQTDQF-XBXARRHUSA-N
DB00266,APRD00761,Dicoumarol,66-76-2,7QID3E7BG7,"3,3'-methylen-bis(4-hydroxy-cumarin) | 3,3'-methylene-bis(4-hydroxycoumarine) | 3,3'-methylenebis(4-hydroxy-1,2-benzopyrone) | 3,3'-methylenebis(4-hydroxy-2H-1-benzopyran-2-one) | 3,3'-methylenebis(4-hydroxycoumarin) | bis-3,3'-(4-hydroxycoumarinyl)methane | bis-hydroxycoumarin | bis(4-hydroxycoumarin-3-yl)methane | di-(4-hydroxy-3-coumarinyl)methane | Dicoumarol | Dicoumarolum | Dicumarol",DOBMPNYZJYQDGZ-UHFFFAOYSA-N
DB00267,APRD00851,Cefmenoxime,65085-01-0,KBZ4844CXN,"(6R,7R)-7-((Z)-2-(2-Amino-4-thiazolyl)-2-methoxyiminoacetamido)-3-((1-methyl-1H-5-tetraazolylthio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-en-2-carbonsaeure | (6R,7R)-7-[[(2E)-2-(2-amino-1,3-thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefmenoxima | Cefmenoxime | Cefmenoximum | CMX",HJJDBAOLQAWBMH-YCRCPZNHSA-N
DB00268,APRD00302,Ropinirole,91374-21-9,030PYR8953,Ropinirol | Ropinirole | Ropinirolum,UHSKFQJFRQCDBE-UHFFFAOYSA-N
DB00269,APRD00715,Chlorotrianisene,569-57-3,6V5034L121,Chloortrianisestrol | Chlorestrolo | Chlorotrianisene | Chlorotrianisenum | Chlorotrianisine | Chlorotrianizen | Chlortrianisen | Chlortrianisestrol | Chlortrianisoestrolum | Chlortrianizen | Clorotrianiseno,BFPSDSIWYFKGBC-UHFFFAOYSA-N
DB00270,APRD00298,Isradipine,75695-93-1,YO1UK1S598,Isradipine | Isradipino | Isradipinum,HMJIYCCIJYRONP-UHFFFAOYSA-N
DB00271,APRD00913,Diatrizoate,117-96-4,5UVC90J1LK,"2,4,6-Triiodo-3,5-diacetamidobenzoic acid | 3,5-Bis(acetylamino)-2,4,6-triiodobenzoic acid | 3,5-diacetamido-2,4,6-triiodobenzoic acid | Acide amidotrizoique | Acidum amidotrizoicum | Acidum diacetylaminotrijodbenzoicum | Amidotrizoate | Amidotrizoic Acid | Amidotrizoic acid (anhydrous) | Diatrizoesaure | Diatrizoic acid | Diatrizoic acid (anhydrous) | Methalamic acid | Triombrin | Urografin acid | Urogranoic acid",YVPYQUNUQOZFHG-UHFFFAOYSA-N
DB00272,APRD00714,Betazole,105-20-4,1C065P542O,1H-pyrazole-3-ethanamine | 2-(1H-pyrazol-5-yl)ethanamine | 2-(3-pyrazolyl)ethylamine | 3-(2-aminoethyl)pyrazole | 3-(beta-aminoethyl)pyrazole | 3-(β-aminoethyl)pyrazole | Ametazole | Betazol | Betazole | Betazolum,JXDFEQONERDKSS-UHFFFAOYSA-N
DB00273,APRD00237,Topiramate,97240-79-4,0H73WJJ391,"2,3:4,5-bis-O-(1-methylethylidene)-β-D-fructopyranose sulfamate | 2,3:4,5-di-O-isopropylidene-β-D-fructopyranose sulfamate | Tipiramate | Tipiramato | Topiramate | Topiramato | Topiramatum | TPM",KJADKKWYZYXHBB-XBWDGYHZSA-N
DB00274,APRD00852,Cefmetazole,56796-20-4,3J962UJT8H,"(6R,7S)-7-({[(cyanomethyl)sulfanyl]acetyl}amino)-7-methoxy-3-{[(1-methyl-1H-tetrazol-5-yl)sulfanyl]methyl}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefmetazole | Cefmetazolo | Cefmetazolum",SNBUBQHDYVFSQF-HIFRSBDPSA-N
DB00275,APRD00223,Olmesartan,144689-24-7,8W1IQP3U10,"4-(1-hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid | 4-(hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)-1,1'-biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid | Olmesartan",VTRAEEWXHOVJFV-UHFFFAOYSA-N
DB00276,APRD00064,Amsacrine,51264-14-3,00DPD30SOY,4'-(9-Acridinylamino)-3'-methoxymethanesulfonanilide | 4'-(9-Acridinylamino)methanesulfon-m-anisidide | 4'-(9-Acridinylamino)methanesulfon-meta-anisidide | 4'-(9-Acridinylamino)methanesulphon-m-anisidide | Acridinyl anisidide | Amsacrina | Amsacrine | Amsacrinum | m-AMSA | mAMSA,XCPGHVQEEXUHNC-UHFFFAOYSA-N
DB00277,APRD00082 | DB09359,Theophylline,58-55-9,0I55128JYK,"1,3-dimethyl-7H-purine-2,6-dione | 1,3-dimethylxanthine | Teofilina | Theophyllin | Theophylline anhydrous | Theophylline, anhydrous",ZFXYFBGIUFBOJW-UHFFFAOYSA-N
DB00278,APRD00105,Argatroban,74863-84-6,OCY3U280Y3,Argatroban | Argatroban anhydrous,KXNPVXPOPUZYGB-IOVMHBDKSA-N
DB00279,APRD01074,Liothyronine,6893-02-3,06LU7C9H1V,"3,3',5-triiodo-L-thyronine | 3,5,3'-Triiodo-L-thyronine | 3,5,3'-Triiodothyronine | 4-(4-hydroxy-3-iodophenoxy)-3,5-diiodo-L-phenylalanine | L-3,5,3'-Triiodothyronine | L-T3 | Liothyronine | Liothyroninum | Liotironina | O-(4-hydroxy-3-iodophenyl)-3,5-diiodo-L-tyrosine | T3 | Triiodothyronine",AUYYCJSJGJYCDS-LBPRGKRZSA-N
DB00280,APRD00507,Disopyramide,3737-09-5,GFO928U8MQ,Disopiramida | Disopyramide | Disopyramidum,UVTNFZQICZKOEM-UHFFFAOYSA-N
DB00281,APRD00479 | DB05291,Lidocaine,137-58-6,98PI200987,"2-(Diethylamino)-2',6'-acetoxylidide | 2-(Diethylamino)-N-(2,6-dimethylphenyl)acetamide | alpha-diethylamino-2,6-dimethylacetanilide | Lidocaína | Lidocaina | Lidocaine | Lidocainum | Lignocaine | α-diethylamino-2,6-dimethylacetanilide",NNJVILVZKWQKPM-UHFFFAOYSA-N
DB00282,APRD01161,Pamidronic acid,40391-99-9,OYY3447OMC,Acide pamidronique | Acido pamidronico | Acidum pamidronicum | Pamidronate | Pamidronic acid,WRUUGTRCQOWXEG-UHFFFAOYSA-N
DB00283,APRD00875,Clemastine,15686-51-8,95QN29S1ID,(+)-(2R)-2-(2-(((R)-p-chloro-α-methyl-α-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine | (+)-(2R)-2-[2-[[(R)-p-chloro-α-methyl-α-phenylbenzyl]oxy]ethyl]-1-methylpyrrolidine | Clemastina | Clemastine | Clemastinum,YNNUSGIPVFPVBX-NHCUHLMSSA-N
DB00284,APRD00656,Acarbose,56180-94-0,T58MSI464G,Acarbosa | Acarbose | Acarbosum,CEMXHAPUFJOOSV-XGWNLRGSSA-N
DB00285,APRD00125,Venlafaxine,93413-69-5,GRZ5RCB1QG,Venlafaxina | Venlafaxine | Venlafaxinum,PNVNVHUZROJLTJ-UHFFFAOYSA-N
DB00286,APRD00396,Conjugated estrogens,12126-59-9,IU5QR144QX,"Conjugated equine estrogens | Conjugated estrogens | Estrogens, Conjugated | Estrogens,conjugated",
DB00287,APRD01271,Travoprost,157283-68-6,WJ68R08KX9,"(1R-(1.ALPHA.(Z),2.BETA.(1E,3R*),3.ALPHA.,5.ALPHA.))-7-(3,5-DIHYDROXY-2-(3-HYDROXY-4-(3-(TRIFLUOROMETHYL)PHENOXY)-1-BUTENYL)CYCLOPENTYL)-5-HEPTENOIC ACID, 1-METHYLETHYL ESTER | ISOPROPYL (Z)-7-((1R,2R,3R,5S)-3,5-DIHYDROXY-2-((1E,3R)-3-HYDROXY-4-((.ALPHA.,.ALPHA.,.ALPHA.-TRIFLUORO-M-TOLYL)OXY)-1-BUTENYL)CYCLOPENTYL)-5-HEPTENOATE | isopropyl (Z)-7-((1R,2R,3R,5S)-3,5-dihydroxy-2-{(1E,3R)-3-hydroxy-4-[(α,α,α-trifluoro-m-tolyl)oxy]-1-butenyl}cyclopentyl)-5-heptenoate | OTX-TP | Travoprost | TRAVOPROST COMPONENT OF DUOTRAV | Travoprostum",MKPLKVHSHYCHOC-AHTXBMBWSA-N
DB00288,APRD00788,Amcinonide,51022-69-6,423W026MA9,Amcinónida | Amcinonide | Amcinonidum | Triamcinolonacetatcyclopentanonid,ILKJAFIWWBXGDU-MOGDOJJUSA-N
DB00289,APRD00614,Atomoxetine,83015-26-3,ASW034S0B8,(-)-Tomoxetine | Atomoxetina | Atomoxetine | Tomoxetina | Tomoxetine | Tomoxetinum,VHGCDTVCOLNTBX-QGZVFWFLSA-N
DB00290,APRD00453 | EXPT00718,Bleomycin,11056-06-7,40S1VHN69B,Bleocin | Bleomicin | Bleomicina | Bleomycin | Bleomycine | Bleomycinum,OYVAGSVQBOHSSS-WXFSZRTFSA-O
DB00291,APRD00115,Chlorambucil,305-03-3,18D0SL7309,"4-(p-bis(beta-chloroethyl)aminophenyl)butyric acid | 4-(p-bis(β-chloroethyl)aminophenyl)butyric acid | 4-[p-[bis(2-chloroethyl)amino]phenyl]butyric acid | Ambochlorin | Chlorambucil | Chloraminophen | Clorambucilo | gamma-[p-di(2-chloroethyl)aminophenyl]butyric acid | N,N-di-2-chloroethyl-gamma-p-aminophenylbutyric acid | N,N-di-2-chloroethyl-γ-p-aminophenylbutyric acid | Phenylbutyric acid nitrogen mustard | γ-[p-di(2-chloroethyl)aminophenyl]butyric acid",JCKYGMPEJWAADB-UHFFFAOYSA-N
DB00292,APRD00965,Etomidate,33125-97-2,Z22628B598,(+)-ethyl 1-(α-methylbenzyl)imidazole-5-carboxylate | (+)-etomidate | (R)-(+)-1-(α-methylbenzyl)imidazole-5-carboxylic acid ethyl ester | (R)-1-(1-phenylethyl)-1H-imidazole-5-carboxylic acid ethyl ester | 3-((R)-1-Phenyl-ethyl)-3H-imidazole-4-carboxylic acid ethyl ester | Etomidate | Etomidato | Etomidatum | R-(+)-ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate,NPUKDXXFDDZOKR-LLVKDONJSA-N
DB00293,APRD00430 | EXPT01092,Raltitrexed,112887-68-0,FCB9EGG971,Raltitrexed,IVTVGDXNLFLDRM-HNNXBMFYSA-N
DB00294,APRD00766,Etonogestrel,54048-10-1,304GTH6RNH,3-Ketodesogestrel | 3-Oxodesogestrel | Etonogestrel | étonogestrel | Etonogestrelum,GCKFUYQCUCGESZ-BPIQYHPVSA-N
DB00295,APRD00215 | DB05354,Morphine,57-27-2,76I7G6D29C,"(−)-morphine | (5alpha,6alpha)-17-methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol | (5alpha,6alpha)-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol | (5R,6S,9R,13S,14R)-4,5-epoxy-N-methyl-7-morphinen-3,6-diol | (5α,6α)-17-methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol | (5α,6α)-didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol | (7R,7AS,12bs)-3-methyl-2,3,4,4a,7,7a-hexahydro-1H-4,12-methano[1]benzofuro[3,2-e]isoquinoline-7,9-diol | Anhydrous morphine | Morfina | Morphia | Morphin | Morphine | Morphinum | Morphium",BQJCRHHNABKAKU-KBQPJGBKSA-N
DB00296,APRD00492,Ropivacaine,84057-95-4,7IO5LYA57N,"(S)-(−)-1-propyl-2',6'-pipecoloxylidide | (S)-ropivacaine | L-N-n-propylpipecolic acid-2,6-xylidide | Ropivacaina | Ropivacaine | Ropivacainum",ZKMNUMMKYBVTFN-HNNXBMFYSA-N
