drug_code,drug_name,side_effect_code,side_effect_name
CID000003637,Hydralazine,C0267003,Abscess Oral
CID000003637,Hydralazine,C0233407,Disorientation
CID000003637,Hydralazine,C0023311,Intraocular Lens Implant
CID000003637,Hydralazine,C0520887,Electrocardiogram St Segment Depression
CID000003637,Hydralazine,C0234192,Feeling Cold
CID000003637,Hydralazine,C0344720,Left Atrial Dilatation
CID000003637,Hydralazine,C0156439,Metabolic Disorder
CID000003637,Hydralazine,C2242544,Congenital Tricuspid Valve Incompetence
CID000003637,Hydralazine,C1112522,Bronchial Oedema
CID000003637,Hydralazine,C0853749,Blood Magnesium Increased
CID000003637,Hydralazine,C2363731,Oropharyngeal Pain
CID000003637,Hydralazine,C0280803,Central Nervous System Lymphoma
CID000003637,Hydralazine,C0015929,Foetal Disorder
CID000003637,Hydralazine,C0238217,Kidney Transplant Rejection
CID000003637,Hydralazine,C0189817,Cardiac Pacemaker Insertion
CID000003637,Hydralazine,C1735340,Extrasystoles
CID000003637,Hydralazine,C0155910,Pulmonary Congestion
CID000003637,Hydralazine,C0438167,Electrocardiogram T Wave Abnormal
CID000003637,Hydralazine,C1699504,Drug Dispensing Error
CID000003637,Hydralazine,C1504561,Hypophagia
CID000003637,Hydralazine,C1868710,Bronchial Secretion Retention
CID000003637,Hydralazine,C0423153,Lacrimation Increased
CID000003637,Hydralazine,C1141905,Bone Callus Excessive
CID000003637,Hydralazine,C0520743,Lymphadenopathy Mediastinal
CID000003637,Hydralazine,C0026644,Edentulous
CID000003637,Hydralazine,C0347621,Haemothorax
CID000003637,Hydralazine,C0852031,Renal Embolism
CID000003637,Hydralazine,C0520888,Electrocardiogram T Wave Inversion
CID000003637,Hydralazine,C0424462,Neglect Of Personal Appearance
CID000003637,Hydralazine,C0238106,Clostridium Difficile Colitis
CID000003637,Hydralazine,C0151878,Electrocardiogram Qt Prolonged
CID000003637,Hydralazine,C0221733,Paradoxical Pressor Response
CID000003637,Hydralazine,C0267918,Cholangitis Chronic
CID000003637,Hydralazine,C0011946,Dialysis
CID000003637,Hydralazine,C0239233,Early Satiety
CID000003637,Hydralazine,C1535973,Bone Fragmentation
CID000003637,Hydralazine,C0854404,Iatrogenic Injury
CID000003637,Hydralazine,C1735632,Hepatic Congestion
CID000003637,Hydralazine,C0278493,Breast Cancer Recurrent
CID000003637,Hydralazine,C0241166,Skin Tightness
CID000003637,Hydralazine,C1704204,Pedal Pulse Absent
CID000003637,Hydralazine,C1997821,Peritoneal Dialysis
CID000003637,Hydralazine,C0948374,Large Intestinal Ulcer
CID000003637,Hydralazine,C0016397,Localised Infection
CID000003637,Hydralazine,C0520854,Mean Arterial Pressure Decreased
CID000003637,Hydralazine,C0002965,Angina Unstable
CID000003637,Hydralazine,C0409497,Joint Injury
CID000003637,Hydralazine,C0085700,Chondromalacia
CID000003637,Hydralazine,C1868877,Mechanical Ventilation
CID000003637,Hydralazine,C1869076,Clostridial Infection
CID000003637,Hydralazine,C0028643,Hypoaesthesia
CID000003637,Hydralazine,C0860901,Protein Total Decreased
CID000003637,Hydralazine,C1096256,Cryptococcal Cutaneous Infection
CID000003637,Hydralazine,C0869219,Speech Disorder
CID000003637,Hydralazine,C0877025,Prothrombin Time Prolonged
CID000003637,Hydralazine,C0877027,Joint Range Of Motion Decreased
CID000003637,Hydralazine,C0877020,Anti-Erythropoietin Antibody Positive
CID000003637,Hydralazine,C0858701,Skin Hypertrophy
CID000003637,Hydralazine,C0002913,Epidural Anaesthesia
CID000003637,Hydralazine,C0340753,Venous Stenosis
CID000003637,Hydralazine,C0151650,Kidney Fibrosis
CID000003637,Hydralazine,C1112565,Pneumatosis
CID000003637,Hydralazine,C1610082,Occult Blood Positive
CID000003637,Hydralazine,C0011405,Dental Pulp Disorder
CID000003637,Hydralazine,C1141948,Troponin Increased
CID000003637,Hydralazine,C1096403,Ejection Fraction Decreased
CID000003637,Hydralazine,C0919672,Multi-Organ Failure
CID000003637,Hydralazine,C0021932,Endotracheal Intubation
CID000003637,Hydralazine,C0232459,Dyspepsia
CID000003637,Hydralazine,C0341503,Peritonitis Bacterial
CID000003637,Hydralazine,C0851043,Lipids Increased
CID000003637,Hydralazine,C0852866,Cervical Cord Compression
CID000003637,Hydralazine,C0037933,Spinal Disorder
CID000003637,Hydralazine,C0030293,Pancreatic Insufficiency
CID000003637,Hydralazine,C0153690,Bone Cancer Metastatic
CID000003637,Hydralazine,C0266292,Kidney Malformation
CID000003637,Hydralazine,C0861112,Cardioactive Drug Level
CID000003637,Hydralazine,C0159076,Choluria
CID000003637,Hydralazine,C0853760,Blood Potassium Increased
CID000003637,Hydralazine,C0038166,Staphylococcal Skin Infection
CID000003637,Hydralazine,C0158995,Congenital Anaemia
CID000003637,Hydralazine,C0948537,Dental Prosthesis Placement
CID000003637,Hydralazine,C0521854,Drug Tolerance
CID000003637,Hydralazine,C0341512,Retroperitoneal Haematoma
CID000003637,Hydralazine,C0438157,Electrocardiogram P Wave Abnormal
CID000003637,Hydralazine,C0852280,Birth Trauma
CID000003637,Hydralazine,C0337629,Economic Problem
CID000003637,Hydralazine,C0235874,Condition Aggravated
CID000003637,Hydralazine,C1141930,Post Procedural Complication
CID000003637,Hydralazine,C1536020,Circumstance Or Information Capable Of Leading To Medication Error
CID000003637,Hydralazine,C0700361,Emotional Distress
CID000003637,Hydralazine,C1328351,Oral Mucosal Hypertrophy
CID000003637,Hydralazine,C0700363,Rhythm Idioventricular
CID000003637,Hydralazine,C1167648,Gastrointestinal Infection
CID000003637,Hydralazine,C0151539,Blood Urea Increased
CID000003637,Hydralazine,C0021294,Premature Baby
CID000003637,Hydralazine,C0021296,Small For Dates Baby
CID000003637,Hydralazine,C0340909,Arteriovenous Fistula Thrombosis
CID000003637,Hydralazine,C0086565,Hepatic Function Abnormal
CID000003637,Hydralazine,C0155876,Obstructive Chronic Bronchitis With Acute Exacerbation
CID000003637,Hydralazine,C0854295,Kyphosis
CID000003637,Hydralazine,C0919700,Spinal Fusion Acquired
CID000003637,Hydralazine,C0277986,Gingival Oedema
CID000003637,Hydralazine,C0241697,Vitamin B12 Decreased
CID000003637,Hydralazine,C1610623,Biopsy Gingival
CID000003637,Hydralazine,C0204324,Dental Operation
CID000003637,Hydralazine,C1619702,Device Related Infection
CID000003637,Hydralazine,C0162739,Hellp Syndrome
CID000003637,Hydralazine,C0876998,Intracardiac Thrombus
CID000003637,Hydralazine,C0858640,Rales
CID000003637,Hydralazine,C0277919,Venous Stasis
CID000003637,Hydralazine,C0238457,Renal Vein Thrombosis
CID000003637,Hydralazine,C2242996,Paraesthesia
CID000003637,Hydralazine,C1868802,Central Venous Catheter Removal
CID000003637,Hydralazine,C0855356,Csf Lymphocyte Count Increased
CID000003637,Hydralazine,C0020474,Mixed Hyperlipidaemia
CID000003637,Hydralazine,C0333313,Primary Sequestrum
CID000003637,Hydralazine,C0019064,Pericardial Haemorrhage
CID000003637,Hydralazine,C0003132,Anoxic Encephalopathy
CID000003637,Hydralazine,C0023654,Lichenification
CID000003637,Hydralazine,C0877153,Neutropenic Sepsis
CID000003637,Hydralazine,C0029698,Paraproteinaemia
CID000003637,Hydralazine,C0152227,Lacrimation Increased
CID000003637,Hydralazine,C0028961,Oliguria
CID000003637,Hydralazine,C0011570,Depression
CID000003637,Hydralazine,C0085642,Livedo Reticularis
CID000003637,Hydralazine,C0015930,Foetal Distress Syndrome
CID000003637,Hydralazine,C0853474,Biopsy Skin
CID000003637,Hydralazine,C0234930,Skin Odour Abnormal
CID000003637,Hydralazine,C0022363,Jaw Fracture
CID000003637,Hydralazine,C0948008,Ischaemic Stroke
CID000003637,Hydralazine,C1112353,Medical Device Complication
CID000003637,Hydralazine,C0948594,Musculoskeletal Discomfort
CID000003637,Hydralazine,C0948592,Acquired Porphyria
CID000003637,Hydralazine,C0851453,Cranial Nerve Disorder
CID000003637,Hydralazine,C0192818,Caecum Operation
CID000003637,Hydralazine,C0192817,Colon Operation
CID000003637,Hydralazine,C0264714,Cardiac Failure Acute
CID000003637,Hydralazine,C0022729,Klebsiella Infection
CID000003637,Hydralazine,C0020711,Hysterotomy
CID000003637,Hydralazine,C0580413,Prothrombin Time
CID000003637,Hydralazine,C1112615,Skin Neoplasm Excision
CID000003637,Hydralazine,C0270897,Erb'S Palsy
CID000003637,Hydralazine,C0026771,Multiple Injuries
CID000003637,Hydralazine,C0842860,Biliary Dilatation
CID000003637,Hydralazine,C0151811,Subcutaneous Nodule
CID000003637,Hydralazine,C0035067,Renal Artery Stenosis
CID000003637,Hydralazine,C0700345,Vulvovaginal Candidiasis
CID000003637,Hydralazine,C0015371,Extrapyramidal Disorder
CID000003637,Hydralazine,C1695984,Oesophageal Food Impaction
CID000003637,Hydralazine,C0242339,Dyslipidaemia
CID000003637,Hydralazine,C0344709,Right Atrial Dilatation
CID000003637,Hydralazine,C1869066,Hypovolaemic Shock
CID000003637,Hydralazine,C1096243,Central Line Infection
CID000003637,Hydralazine,C0020431,Hyperbaric Oxygen Therapy
CID000003637,Hydralazine,C0040441,Tooth Fracture
CID000003637,Hydralazine,C0040440,Tooth Extraction
CID000003637,Hydralazine,C0580316,Neutrophil Count Abnormal
CID000003637,Hydralazine,C0522351,Vertigo Positional
CID000003637,Hydralazine,C0429027,Electrocardiogram Qrs Complex
CID000003637,Hydralazine,C0241705,Strangury
CID000003637,Hydralazine,C0019333,Umbilical Hernia Repair
CID000003637,Hydralazine,C0854425,Sputum Discoloured
CID000003637,Hydralazine,C0234146,Areflexia
CID000003637,Hydralazine,C0679640,Surgical Vascular Shunt
CID000003637,Hydralazine,C0919806,Joint Prosthesis User
CID000003637,Hydralazine,C0853023,Blood Parathyroid Hormone Increased
CID000003637,Hydralazine,C0011432,Sensitivity Of Teeth
CID000003637,Hydralazine,C0007193,Congestive Cardiomyopathy
CID000003637,Hydralazine,C0521169,Compression Fracture
CID000003637,Hydralazine,C0577730,Family Stress
CID000003637,Hydralazine,C0281803,Endotracheal Intubation Complication
CID000003637,Hydralazine,C0852700,Reticulocyte Count Decreased
CID000003637,Hydralazine,C1619705,Periarthritis
CID000003637,Hydralazine,C0877511,Precancerous Skin Lesion
CID000003637,Hydralazine,C0877046,Tooth Infection
CID000003637,Hydralazine,C0162504,Hidradenitis
CID000003637,Hydralazine,C0155967,Ulcer Haemorrhage
CID000003637,Hydralazine,C0155966,Diverticulum
CID000003637,Hydralazine,C0154782,Hypotony Of Eye
CID000003637,Hydralazine,C1112421,Lung Infection Pseudomonal
CID000003637,Hydralazine,C0376405,Treatment Noncompliance
CID000003637,Hydralazine,C0264490,Acute Respiratory Failure
CID000003637,Hydralazine,C0553686,Brain Herniation
CID000003637,Hydralazine,C0852683,Glomerular Vascular Disorder
CID000003637,Hydralazine,C0277585,Drug Intolerance
CID000003637,Hydralazine,C1535881,Oral Intake Reduced
CID000003637,Hydralazine,C0595916,Nephropathy Toxic
CID000003637,Hydralazine,C0264716,Cardiac Failure Chronic
CID000003637,Hydralazine,C0702109,Erythropoiesis Abnormal
CID000003637,Hydralazine,C1696153,Pitting Oedema
CID000003637,Hydralazine,C0032541,Polyneuropathy
CID000003637,Hydralazine,C0274418,Peritoneal Dialysis Complication
CID000003637,Hydralazine,C0741921,Cardiac Enzymes Increased
CID000003637,Hydralazine,C0155895,Acute Pulmonary Oedema
CID000003637,Hydralazine,C1262005,Ischaemic Cerebral Infarction
CID000003637,Hydralazine,C0520600,Cardio-Respiratory Arrest
CID000003637,Hydralazine,C0189786,Cardiac Aneurysm
CID000003637,Hydralazine,C0948413,Medication Residue
CID000003637,Hydralazine,C1096358,Intervertebral Disc Compression
CID000003637,Hydralazine,C1096020,Secretion Discharge
CID000003637,Hydralazine,C0151529,Bleeding Time Prolonged
CID000003637,Hydralazine,C1504437,Life Expectancy Shortened
CID000003637,Hydralazine,C0007775,Cerebral Atherosclerosis
CID000003637,Hydralazine,C0877398,Anaemia Postoperative
CID000003637,Hydralazine,C0029453,Osteopenia
CID000003637,Hydralazine,C0741453,Bedridden
CID000003637,Hydralazine,C0037274,Dermatosis
CID000003637,Hydralazine,C0241060,Dermal Cyst
CID000003637,Hydralazine,C0920166,Catheter Site Haemorrhage
CID000003637,Hydralazine,C0919925,Speech Rehabilitation
CID000003637,Hydralazine,C1096294,Maxillofacial Operation
CID000003637,Hydralazine,C2609418,Stevens-Johnson Syndrome
CID000003637,Hydralazine,C0231856,Breath Sounds Abnormal
CID000003637,Hydralazine,C1167981,Hypoaesthesia
CID000003637,Hydralazine,C0159321,Facial Bones Fracture
CID000003637,Hydralazine,C0861111,Cardioactive Drug Level Increased
CID000003637,Hydralazine,C0156272,Enterovesical Fistula
CID000003637,Hydralazine,C0277884,Blood Pressure Systolic Increased
CID000003637,Hydralazine,C0238902,Carotidynia
CID000003637,Hydralazine,C0919857,Ecg Signs Of Ventricular Hypertrophy
CID000003637,Hydralazine,C1297885,Open Reduction Of Fracture
CID000003637,Hydralazine,C0392196,Injection Site Urticaria
CID000003637,Hydralazine,C0236073,Cerebellar Infarction
CID000003637,Hydralazine,C0521232,Arterial Stent Insertion
CID000003637,Hydralazine,C0262476,Lacrimation Increased
CID000003637,Hydralazine,C0852733,Completed Suicide
CID000003637,Hydralazine,C0235827,Therapeutic Response Decreased
CID000003637,Hydralazine,C0947900,Iron Metabolism Disorder
CID000003637,Hydralazine,C0549405,Blood Pressure Fluctuation
CID000003637,Hydralazine,C1095952,Surgery
CID000003637,Hydralazine,C0263888,Back Disorder
CID000003637,Hydralazine,C0549400,Apgar Score Low
CID000003637,Hydralazine,C1963821,Oropharyngeal Plaque
CID000003637,Hydralazine,C0848063,Joint Injection
CID000003637,Hydralazine,C0264686,Coronary Artery Embolism
CID000003637,Hydralazine,C0851745,Anorectal Disorder
CID000003637,Hydralazine,C0267537,Caecitis
CID000003637,Hydralazine,C0424091,Decreased Interest
CID000003637,Hydralazine,C0235532,Cyanosis
CID000003637,Hydralazine,C1700942,Pulmonary Arterial Hypertension
CID000003637,Hydralazine,C0406834,Wound Secretion
CID000003637,Hydralazine,C0949690,Spinal Osteoarthritis
CID000003637,Hydralazine,C0156672,Pre-Eclampsia
CID000003637,Hydralazine,C1455780,Aortic Valve Sclerosis
CID000003637,Hydralazine,C0520863,Diastolic Dysfunction
CID000003637,Hydralazine,C0235039,Pallor
CID000003637,Hydralazine,C0520547,Poor Peripheral Circulation
CID000003637,Hydralazine,C0193173,Prolapse Repair
CID000003637,Hydralazine,C0919818,Anti-Neutrophil Cytoplasmic Antibody Positive Vasculitis
CID000003637,Hydralazine,C0856223,Mental Disorder
CID000003637,Hydralazine,C0854133,Blood Bilirubin Increased
CID000003637,Hydralazine,C0520803,Overdose
CID000003637,Hydralazine,C0919799,Heparin-Induced Thrombocytopenia
CID000003637,Hydralazine,C0919659,Oropharyngeal Candidiasis
CID000003637,Hydralazine,C0919792,Walking Aid User
CID000003637,Hydralazine,C1262060,Post Procedural Fistula
CID000003637,Hydralazine,C0232431,Cold Sweat
CID000003637,Hydralazine,C0242231,Coronary Artery Stenosis
CID000003637,Hydralazine,C0877173,Food Aversion
CID000003637,Hydralazine,C0546817,Fluid Overload
CID000003637,Hydralazine,C0577053,Hepatic Lesion
CID000003637,Hydralazine,C1112436,Qrs Axis Abnormal
CID000003637,Hydralazine,C0860210,Granulomatous Liver Disease
CID000003637,Hydralazine,C0877161,Drug Exposure During Pregnancy
CID000003637,Hydralazine,C0012739,Disseminated Intravascular Coagulation
CID000003637,Hydralazine,C0021775,Intermittent Claudication
CID000003637,Hydralazine,C0262534,Labile Hypertension
CID000003637,Hydralazine,C0546884,Hypovolaemia
CID000003637,Hydralazine,C0155652,Acute Myocardial Infarction
CID000003637,Hydralazine,C0185131,Bone Operation
CID000003637,Hydralazine,C0034091,Pulmonary Veno-Occlusive Disease
CID000003637,Hydralazine,C1168088,Parvovirus B19 Serology Positive
CID000003637,Hydralazine,C0155389,Auricular Perichondritis
CID000003637,Hydralazine,C0854506,Urinary Tract Infection Enterococcal
CID000003637,Hydralazine,C0700632,Endodontic Procedure
CID000003637,Hydralazine,C0852282,Respiratory Disorder
CID000003637,Hydralazine,C0744403,Gingival Infection
CID000003637,Hydralazine,C0194361,Bladder Operation
CID000003637,Hydralazine,C0743680,Eye Oedema
CID000003637,Hydralazine,C0151907,Skin Discolouration
CID000003637,Hydralazine,C0948540,Arterial Therapeutic Procedure
CID000003637,Hydralazine,C1619692,Nephrogenic Fibrosing Dermopathy
CID000003637,Hydralazine,C0007766,Intracranial Aneurysm
CID000003637,Hydralazine,C0854372,Mastication Disorder
CID000003637,Hydralazine,C0193641,Fistula Repair
CID000003637,Hydralazine,C0029461,Osteoradionecrosis
CID000003637,Hydralazine,C1720775,Renal Tubular Necrosis
CID000003637,Hydralazine,C0241075,Skin Induration
CID000003637,Hydralazine,C0857494,Unresponsive To Stimuli
CID000003637,Hydralazine,C0019144,Hepatectomy
CID000003637,Hydralazine,C0187769,Knee Operation
CID000003637,Hydralazine,C0856304,Abscess Drainage
CID000003637,Hydralazine,C0858621,Blindness Transient
CID000003637,Hydralazine,C0011079,Debridement
CID000003637,Hydralazine,C0158889,Foetal Growth Retardation
CID000003637,Hydralazine,C1096075,Enterococcal Infection
CID000003637,Hydralazine,C0085082,Fungaemia
CID000003637,Hydralazine,C0438216,Blood Count Abnormal
CID000003637,Hydralazine,C0877403,Bursitis Infective
CID000003637,Hydralazine,C0855327,Ejection Fraction Abnormal
CID000003637,Hydralazine,C0162279,Choroidal Detachment
CID000003637,Hydralazine,C0151643,Fibrin Decreased
CID000003637,Hydralazine,C1095988,Brain Natriuretic Peptide Increased
CID000003637,Hydralazine,C0269190,Metaplasia
CID000003637,Hydralazine,C1167765,Wound Infection Staphylococcal
CID000003637,Hydralazine,C0860554,Spinal Column Stenosis
CID000003637,Hydralazine,C0152964,Streptococcal Bacteraemia
CID000003637,Hydralazine,C0152965,Staphylococcal Bacteraemia
CID000003637,Hydralazine,C1168207,Haemodialysis
CID000003637,Hydralazine,C0014854,Diverticulum Oesophageal
CID000003637,Hydralazine,C0085663,Plasmacytosis
CID000003637,Hydralazine,C0239296,Oesophageal Obstruction
CID000003637,Hydralazine,C0157147,Premature Rupture Of Membranes
CID000003637,Hydralazine,C0020457,Diabetic Hyperosmolar Coma
CID000003637,Hydralazine,C0840926,Spondylolysis
CID000003637,Hydralazine,C0158619,Congenital Mitral Valve Incompetence
CID000003637,Hydralazine,C0853225,International Normalised Ratio Increased
CID000003637,Hydralazine,C0156714,Premature Labour
CID000003637,Hydralazine,C0853223,Activated Partial Thromboplastin Time Prolonged
CID000002249,Atenolol,C0341697,Renal Impairment
CID000002249,Atenolol,C0155508,Viral Labyrinthitis
CID000002249,Atenolol,C0151942,Arterial Thrombosis
CID000002249,Atenolol,C0155910,Pulmonary Congestion
CID000002249,Atenolol,C0234238,Pain
CID000002249,Atenolol,C0852091,Bone Disorder
CID000002249,Atenolol,C0856054,Mental Status Changes
CID000002249,Atenolol,C0016770,Frustration
CID000002249,Atenolol,C1096131,Csf Monocyte Count Increased
CID000002249,Atenolol,C0036980,Cardiogenic Shock
CID000002249,Atenolol,C0003893,Joint Arthroplasty
CID000002249,Atenolol,C1141948,Troponin Increased
CID000002249,Atenolol,C0040809,Refusal Of Treatment By Patient
CID000002249,Atenolol,C0345120,Coronary Ostial Stenosis
CID000002249,Atenolol,C0186193,Hip Arthroplasty
CID000002249,Atenolol,C0948238,Erectile Dysfunction
CID000002249,Atenolol,C0235431,Blood Creatinine Increased
CID000002249,Atenolol,C0277884,Blood Pressure Systolic Increased
CID000002249,Atenolol,C0856891,Application Site Dermatitis
CID000002249,Atenolol,C0858678,Alopecia
CID000002249,Atenolol,C0919625,Blood Phosphorus Increased
CID000002249,Atenolol,C0158266,Intervertebral Disc Degeneration
CID000002249,Atenolol,C0267003,Abscess Oral
CID000002249,Atenolol,C0861113,Chemotherapeutic Drug Level Increased
CID000002249,Atenolol,C0233407,Disorientation
CID000002249,Atenolol,C0426390,Bladder Spasm
CID000002249,Atenolol,C2363731,Oropharyngeal Pain
CID000002249,Atenolol,C0149699,Fibula Fracture
CID000002249,Atenolol,C0853692,Blood Triglycerides Increased
CID000002249,Atenolol,C1735340,Extrasystoles
CID000002249,Atenolol,C0262985,Dermatitis Psoriasiform
CID000002249,Atenolol,C0581912,Sensation Of Heaviness
CID000002249,Atenolol,C0438167,Electrocardiogram T Wave Abnormal
CID000002249,Atenolol,C0151570,Coombs Indirect Test Positive
CID000002249,Atenolol,C1142332,Glasgow Coma Scale
CID000002249,Atenolol,C0520587,Vulvovaginal Discomfort
CID000002249,Atenolol,C1504561,Hypophagia
CID000002249,Atenolol,C1328381,Chronic Left Ventricular Failure
CID000002249,Atenolol,C0158619,Congenital Mitral Valve Incompetence
CID000002249,Atenolol,C1536011,Wrong Technique In Drug Usage Process
CID000002249,Atenolol,C1536013,Incorrect Dose Administered
CID000002249,Atenolol,C0600142,Menopausal Symptoms
CID000002249,Atenolol,C0521592,Hypoaesthesia Oral
CID000002249,Atenolol,C0267827,Hepatitis Acute
CID000002249,Atenolol,C0011946,Dialysis
CID000002249,Atenolol,C0541782,Sinus Arrest
CID000002249,Atenolol,C0522744,Exposure To Contaminated Air
CID000002249,Atenolol,C0877248,Adverse Event
CID000002249,Atenolol,C0549253,Bladder Dilatation
CID000002249,Atenolol,C0160318,Heart Injury
CID000002249,Atenolol,C0001807,Aggression
CID000002249,Atenolol,C1963978,Gingival Disorder
CID000002249,Atenolol,C0853144,Drug Level Below Therapeutic
CID000002249,Atenolol,C0002965,Angina Unstable
CID000002249,Atenolol,C0409497,Joint Injury
CID000002249,Atenolol,C0235378,Hepatotoxicity
CID000002249,Atenolol,C1096704,Blood Erythropoietin Increased
CID000002249,Atenolol,C0947843,Ocular Vascular Disorder
CID000002249,Atenolol,C0869219,Speech Disorder
CID000002249,Atenolol,C0877020,Anti-Erythropoietin Antibody Positive
CID000002249,Atenolol,C0919873,Prescribed Overdose
CID000002249,Atenolol,C0242350,Erectile Dysfunction
CID000002249,Atenolol,C0853034,Blood Creatine Phosphokinase Increased
CID000002249,Atenolol,C1610082,Occult Blood Positive
CID000002249,Atenolol,C1610080,Antinuclear Antibody Increased
CID000002249,Atenolol,C0748725,Sinus Operation
CID000002249,Atenolol,C1096403,Ejection Fraction Decreased
CID000002249,Atenolol,C0919672,Multi-Organ Failure
CID000002249,Atenolol,C0232459,Dyspepsia
CID000002249,Atenolol,C0023222,Pain In Extremity
CID000002249,Atenolol,C0853785,Blood Iron Decreased
CID000002249,Atenolol,C0007398,Catatonia
CID000002249,Atenolol,C0853760,Blood Potassium Increased
CID000002249,Atenolol,C1262168,Cholecystitis Infective
CID000002249,Atenolol,C0542189,Therapeutic Reaction Time Decreased
CID000002249,Atenolol,C0235874,Condition Aggravated
CID000002249,Atenolol,C1141930,Post Procedural Complication
CID000002249,Atenolol,C1328358,Pedal Pulse Decreased
CID000002249,Atenolol,C0151539,Blood Urea Increased
CID000002249,Atenolol,C0852913,Blood Amylase Increased
CID000002249,Atenolol,C0282607,Vascular Neoplasm
CID000002249,Atenolol,C0016506,Foot Deformity
CID000002249,Atenolol,C0400823,Neutropenic Colitis
CID000002249,Atenolol,C0085633,Mood Altered
CID000002249,Atenolol,C0877153,Neutropenic Sepsis
CID000002249,Atenolol,C0018794,Atrioventricular Block
CID000002249,Atenolol,C0149662,Toe Deformity
CID000002249,Atenolol,C0344320,Abnormal Dreams
CID000002249,Atenolol,C0022363,Jaw Fracture
CID000002249,Atenolol,C0423086,Staring
CID000002249,Atenolol,C0011570,Depression
CID000002249,Atenolol,C0041364,Tumour Lysis Syndrome
CID000002249,Atenolol,C0236065,Oedema Mouth
CID000002249,Atenolol,C1321686,Faecaloma
CID000002249,Atenolol,C0235763,Psoriasis
CID000002249,Atenolol,C0349702,Corneal Scar
CID000002249,Atenolol,C0342245,Diabetic Eye Disease
CID000002249,Atenolol,C0549410,Palmar-Plantar Erythrodysaesthesia Syndrome
CID000002249,Atenolol,C1535881,Oral Intake Reduced
CID000002249,Atenolol,C0863070,Catheter Site Related Reaction
CID000002249,Atenolol,C0475858,Pruritus Generalised
CID000002249,Atenolol,C0241013,Serum Ferritin Increased
CID000002249,Atenolol,C1964002,Leukoencephalopathy
CID000002249,Atenolol,C0038017,Spondylolisthesis
CID000002249,Atenolol,C0948369,Myocardial Infarction
CID000002249,Atenolol,C0151814,Coronary Artery Occlusion
CID000002249,Atenolol,C0701811,Amnesia
CID000002249,Atenolol,C0242979,Muscle Fatigue
CID000002249,Atenolol,C1869066,Hypovolaemic Shock
CID000002249,Atenolol,C0235996,Hepatic Enzyme
CID000002249,Atenolol,C0042023,Pollakiuria
CID000002249,Atenolol,C0747031,Opportunistic Infection
CID000002249,Atenolol,C0235639,Urine Abnormality
CID000002249,Atenolol,C0005954,Biopsy Bone Marrow
CID000002249,Atenolol,C0266998,Oral Soft Tissue Disorder
CID000002249,Atenolol,C0282193,Iron Overload
CID000002249,Atenolol,C0852517,Small Cell Carcinoma
CID000002249,Atenolol,C0155966,Diverticulum
CID000002249,Atenolol,C0234458,Abnormal Dreams
CID000002249,Atenolol,C1096730,Staphylococcal Infection
CID000002249,Atenolol,C0948521,Oral Pruritus
CID000002249,Atenolol,C0521849,Drug Interaction
CID000002249,Atenolol,C0741921,Cardiac Enzymes Increased
CID000002249,Atenolol,C0476273,Respiratory Distress
CID000002249,Atenolol,C1283787,Allergic Transfusion Reaction
CID000002249,Atenolol,C0549448,Haemoglobin Increased
CID000002249,Atenolol,C0239935,Haematocrit Increased
CID000002249,Atenolol,C0185221,Bone Debridement
CID000002249,Atenolol,C0235315,Faeces Discoloured
CID000002249,Atenolol,C0855296,Aspiration Bone Marrow
CID000002249,Atenolol,C0023380,Lethargy
CID000002249,Atenolol,C0741453,Bedridden
CID000002249,Atenolol,C0019372,Herpes Virus Infection
CID000002249,Atenolol,C1096117,Off Label Use
CID000002249,Atenolol,C1167981,Hypoaesthesia
CID000002249,Atenolol,C0235573,Haemoglobinaemia
CID000002249,Atenolol,C0008372,Cholestasis
CID000002249,Atenolol,C1262119,Unevaluable Event
CID000002249,Atenolol,C0408591,Intervertebral Disc Operation
CID000002249,Atenolol,C0549357,Abdominal Adhesions
CID000002249,Atenolol,C0038218,Status Asthmaticus
CID000002249,Atenolol,C0853117,Blood Testosterone Decreased
CID000002249,Atenolol,C0011548,Dependent Personality Disorder
CID000002249,Atenolol,C0853737,Blood Bicarbonate
CID000002249,Atenolol,C0220870,Dizziness
CID000002249,Atenolol,C1262024,Base Excess
CID000002249,Atenolol,C0221155,Systolic Hypertension
CID000002249,Atenolol,C0235827,Therapeutic Response Decreased
CID000002249,Atenolol,C0549405,Blood Pressure Fluctuation
CID000002249,Atenolol,C0851748,Gastric Disorder
CID000002249,Atenolol,C1096652,Immunodeficiency
CID000002249,Atenolol,C1096124,Meniscus Lesion
CID000002249,Atenolol,C1096657,Prostate Examination Abnormal
CID000002249,Atenolol,C0277890,Blood Pressure Diastolic Decreased
CID000002249,Atenolol,C0241148,Skin Plaque
CID000002249,Atenolol,C0161408,Viith Nerve Injury
CID000002249,Atenolol,C0919887,Drug Ineffective
CID000002249,Atenolol,C0008680,Eosinophilic Pneumonia Chronic
CID000002249,Atenolol,C0034935,Extensor Plantar Response
CID000002249,Atenolol,C0011311,Dengue Fever
CID000002249,Atenolol,C0549475,Lipase
CID000002249,Atenolol,C0155170,Conjunctival Cyst
CID000002249,Atenolol,C1869050,Anticholinergic Syndrome
CID000002249,Atenolol,C0029453,Osteopenia
CID000002249,Atenolol,C0009595,Obsessive-Compulsive Personality Disorder
CID000002249,Atenolol,C0520547,Poor Peripheral Circulation
